Title:,"ODA to water and sanitation as share of all ODA, 2003-2013",,,,,,,,,,,,
Source:,OECD DAC Creditor Reporting System (CRS),,,,,,,,,,,,
Notes:,"Share of all ODA disbursements to water and sanitation, US$ billions (constant 2012 prices), from all donors",,,,,,,,,,,,
Data extracted:,11-Mar-15,,,,,,,,,,,,
,,,,,,,,,,,,,
,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
All other aid, 87.5 , 92.8 , 127.1 , 174.3 , 118.4 , 130.3 , 137.2 , 147.2 , 145.4 , 145.2 , 161.5 ,,
Aid to water and sanitation, 2.6 , 2.9 , 4.6 , 4.5 , 4.4 , 5.7 , 5.8 , 6.4 , 6.4 , 6.5 , 6.6 ,,
Share of aid to water and sanitation within total aid,2.8%,3.0%,3.5%,2.5%,3.6%,4.2%,4.1%,4.2%,4.2%,4.3%,3.9%,,
,,,,,,,,,,,,,
ODA to all sectors, 29.65 , 33.64 , 42.83 , 44.71 , 49.76 , 54.14 , 58.99 , 60.82 , 59.53 , 59.68 , 63.09 ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
